# Mutation cases for the BEO-69 batch-5 refusal tests (internal/taskauthority).
#
# <go file>	<test>	<anchor, \n for newlines and \t for tabs>
#
# Each row names one refusal branch and the test that claims to cover it.
# .github/scripts/mutation-check.py rewrites the anchor's condition to
# `(COND) && false` and reruns that test: it must go red. See that script's
# docstring for why the operator is that way round and why a BUILD-FAIL is
# counted as its own class rather than as a kill.
internal/taskauthority/canonical_delivery.go	TestGuardRevokeDeliveryRefusesUnrevocableRequests	\t\tif index.AuthorizationOpID == "" {\n\t\t\treturn Aggregate{}, DeliveryIndex{}, nil, conflictError(ErrConflict, "task %s has no active delivery authorization to revoke", cur.TaskID)
internal/taskauthority/canonical_delivery.go	TestGuardRevokeDeliveryRefusesUnrevocableRequests	\tif strings.TrimSpace(req.Reason) == "" {
internal/taskauthority/canonical_launch.go	TestGuardAttachEndpointRefusesIncompleteEndpointIdentity	\tif strings.TrimSpace(req.Backend) == "" {
internal/taskauthority/canonical_launch.go	TestGuardAttachEndpointRefusesIncompleteEndpointIdentity	\tif strings.TrimSpace(req.FenceToken) == "" {
internal/taskauthority/canonical_launch.go	TestGuardAttachEndpointRefusesIncompleteEndpointIdentity	\tif strings.TrimSpace(req.Handle) == "" {
internal/taskauthority/canonical_launch.go	TestGuardAttachEndpointRefusesIncompleteEndpointIdentity	\tif strings.TrimSpace(req.LeaseID) == "" {
internal/taskauthority/canonical_launch.go	TestGuardAttachEndpointRefusesWorkingTask	\t\tif cur.Phase != PhaseQueued {\n\t\t\treturn Aggregate{}, conflictError(ErrConflict, "task %s generation %s is %s, attach endpoint requires queued", cur.TaskID, cur.Generation, cur.Phase)
internal/taskauthority/canonical_launch.go	TestGuardAttachEndpointRequiresTheLaunchIncarnation	\t\tif req.Incarnation == "" {
internal/taskauthority/canonical_launch.go	TestGuardRecordLaunchRefusesUnusableEvidenceShape	\tif !domain.IsSHA256(req.CommandDigest) {
internal/taskauthority/canonical_launch.go	TestGuardRecordLaunchRefusesUnusableEvidenceShape	\tif req.LaunchID == "" || strings.ContainsAny(req.LaunchID, `/\\`) {
internal/taskauthority/canonical_launch.go	TestGuardRecordLaunchRefusesWorkingTask	\t\tif cur.Phase != PhaseQueued {\n\t\t\treturn Aggregate{}, conflictError(ErrConflict, "task %s generation %s is %s, record launch requires queued", cur.TaskID, cur.Generation, cur.Phase)
internal/taskauthority/canonical_launch.go	TestGuardRecordLaunchRequiresACommittedIntent	\t\tif cur.Launch == nil {\n\t\t\treturn Aggregate{}, conflictError(ErrConflict, "task %s generation %s has no launch intent; record launch requires a committed launch intent", cur.TaskID, cur.Generation)
internal/taskauthority/canonical_ops.go	TestGuardAddHoldRefusesToReviveAReleasedHold	\t\tif doc.Hold.ReleasedAt != 0 {
internal/taskauthority/canonical_ops.go	TestGuardAddHoldRefusesUnusableRequests	\tif len(req.Actions) == 0 || strings.TrimSpace(req.Reason) == "" {
internal/taskauthority/canonical_ops.go	TestGuardAddHoldRefusesUnusableRequests	\tif req.HoldID == "" || strings.ContainsAny(req.HoldID, `/\\.`) {\n\t\treturn HoldResult{}, validationError("dispatch hold ID must be a safe non-empty value")\n\t}\n\tif len(req.Actions) == 0 || strings.TrimSpace(req.Reason) == "" {
internal/taskauthority/canonical_ops.go	TestGuardBlockRefusesTerminalTask	\t\tif cur.Phase != PhaseQueued && cur.Phase != PhaseWorking {
internal/taskauthority/canonical_ops.go	TestGuardCompleteRefusesTerminalSourceAndNonTerminalTarget	\t\tif cur.Phase.terminal() {
internal/taskauthority/canonical_ops.go	TestGuardCompleteRefusesTerminalSourceAndNonTerminalTarget	\tif req.To != PhaseDone && req.To != PhaseResolved {
internal/taskauthority/canonical_ops.go	TestGuardCreateRefusesTaskWithoutOwner	\tif strings.TrimSpace(req.Owner) == "" {
internal/taskauthority/canonical_ops.go	TestGuardGetGenerationRefusesUnknownGeneration	\tif !exists {\n\t\treturn Aggregate{}, conflictError(ErrNotFound, "task %s generation %s not found", taskID.Value(), gen)
internal/taskauthority/canonical_ops.go	TestGuardReleaseHoldRefusesUnsafeHoldID	\tif req.HoldID == "" || strings.ContainsAny(req.HoldID, `/\\.`) {\n\t\treturn HoldResult{}, validationError("dispatch hold ID must be a safe non-empty value")\n\t}\n\tlk, err := c.h.Lock(holdScope(req.HoldID))
internal/taskauthority/canonical_ops.go	TestGuardReopenRefusesMissingAndNonTerminalTasks	\tif !cur.Phase.terminal() {
internal/taskauthority/canonical_ops.go	TestGuardReopenRefusesMissingAndNonTerminalTasks	\tif !exists {\n\t\treturn Outcome{}, conflictError(ErrNotFound, "task %s not found", req.TaskID.Value())
internal/taskauthority/canonical_ops.go	TestGuardStartRefusesNonQueuedTask	\t\tif cur.Phase != PhaseQueued {
internal/taskauthority/canonical_promote.go	TestGuardPromoteRefusesAnyOtherKindPair	\tif req.CurrentKind != "scout" || req.TargetKind != "ship" {
internal/taskauthority/canonical_retirement.go	TestGuardRetireRefusesAnAlreadyRetiredGeneration	\t\tif cur.Phase == PhaseRetired {
internal/taskauthority/canonical_transfer.go	TestGuardActivateTransferRequiresAReceivedGeneration	\tif !exists {
internal/taskauthority/canonical_transfer.go	TestGuardCommitTransferRefusesUnboundActivationEvidence	\t\tif req.Evidence.SourceGeneration != cur.Generation {
internal/taskauthority/canonical_transfer.go	TestGuardCommitTransferRefusesUnboundActivationEvidence	\t\tif req.Evidence.SourceHome != c.homeID.Value() {
internal/taskauthority/canonical_transfer.go	TestGuardCommitTransferRefusesUnboundActivationEvidence	\tif req.Evidence.ReservationID != req.ReservationID {
internal/taskauthority/canonical_transfer.go	TestGuardCommitTransferRefusesUnboundActivationEvidence	\tif req.Evidence.TaskID != req.TaskID.Value() {
internal/taskauthority/canonical_transfer.go	TestGuardReceiveTransferRequiresAnOwner	\tif strings.TrimSpace(req.Definition.Owner) == "" {
internal/taskauthority/canonical_transfer.go	TestGuardTransferRefusesUnsafeReservationID	\tif id == "" || strings.ContainsAny(id, `/\\`) {
internal/taskauthority/dispatch.go	TestGuardValidateHoldRefusesUnusableRecords	\tif h.ID == "" || strings.ContainsAny(h.ID, `/\\`) {
internal/taskauthority/dispatch.go	TestGuardValidateHoldRefusesUnusableRecords	\tif h.SchemaVersion != TaskAuthoritySchema {
internal/taskauthority/dispatch.go	TestGuardValidateHoldRefusesUnusableRecords	\tif len(h.Actions) == 0 {
internal/taskauthority/dispatch.go	TestGuardValidateHoldRefusesUnusableRecords	\tif strings.TrimSpace(h.Reason) == "" {

# The premise tests for the nine waivers that stay in the baseline. Each cites an
# EARLIER guard as the reason its branch is unreachable, so the mutant goes into
# that earlier guard: a premise test that survives it is not testing the premise.
internal/taskauthority/model.go	TestPremiseNoAggregateWithABlankOwnerReachesApply	\tif strings.TrimSpace(agg.Definition.Owner) == "" {
internal/taskauthority/canonical_binding.go	TestPremiseBindEndpointRefusesOnPhaseBeforeItCanSeeABoundEndpoint	\t\tif cur.Phase != PhaseQueued {\n\t\t\treturn Aggregate{}, conflictError(ErrConflict, "task %s generation %s is %s, bind endpoint requires queued", cur.TaskID, cur.Generation, cur.Phase)
internal/taskauthority/canonical.go	TestPremiseCleanupFenceRejectsAForeignClaimBeforeApply	\t\tif gate.operationID != claim.OperationID || gate.generation != claim.Generation {
